epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,2356.06,1.49516,1.11727,0.00714,0.71922,0.52982,0.63895,0.25782,1.95789,1.65489,0.00875,0.0011882,0.0011882,0.0011882
43,2412.59,1.46364,1.11134,0.00691,0.73107,0.51579,0.60487,0.26432,1.91055,1.68839,0.00839,0.0011684,0.0011684,0.0011684
44,2469.07,1.4764,1.08254,0.00677,0.70449,0.51579,0.63253,0.26239,2.00742,1.59024,0.00854,0.0011486,0.0011486,0.0011486
45,2525.69,1.47492,1.07291,0.0068,0.70447,0.52281,0.61611,0.25124,2.01884,1.5816,0.00887,0.0011288,0.0011288,0.0011288
46,2582.38,1.4239,1.07577,0.00665,0.77622,0.51579,0.64203,0.26822,1.9336,1.61528,0.00827,0.001109,0.001109,0.001109
47,2639.26,1.46182,1.07424,0.00671,0.76676,0.51907,0.62008,0.26249,1.94455,1.68726,0.00819,0.0010892,0.0010892,0.0010892
48,2695.87,1.41097,1.08022,0.00663,0.74087,0.5718,0.61624,0.24663,2.00911,1.74552,0.0089,0.0010694,0.0010694,0.0010694
49,2752.69,1.40861,1.07904,0.00653,0.67306,0.55439,0.62843,0.26863,2.01827,1.51396,0.00875,0.0010496,0.0010496,0.0010496
50,2809.68,1.40664,1.07333,0.00661,0.74623,0.55718,0.64381,0.27418,1.99167,1.59197,0.00846,0.0010298,0.0010298,0.0010298
51,2867.16,1.40616,1.05558,0.00667,0.71685,0.58629,0.64594,0.2688,2.0188,1.51773,0.00882,0.00101,0.00101,0.00101
52,2926.11,1.39865,1.02381,0.0066,0.67331,0.5614,0.60765,0.23996,1.96338,1.72347,0.00876,0.0009902,0.0009902,0.0009902
53,2984.17,1.37354,1.03591,0.00644,0.68632,0.50175,0.59448,0.26496,1.95018,1.62019,0.00843,0.0009704,0.0009704,0.0009704
54,3040.83,1.3564,1.05489,0.00631,0.72941,0.52021,0.61187,0.25766,1.91075,1.66378,0.00822,0.0009506,0.0009506,0.0009506
55,3097.28,1.37293,1.02625,0.00617,0.70661,0.55773,0.63775,0.25966,1.97484,1.55763,0.00883,0.0009308,0.0009308,0.0009308
56,3153.88,1.35307,1.00573,0.00622,0.7561,0.5193,0.62531,0.25295,1.97943,1.67252,0.00872,0.000911,0.000911,0.000911
57,3210.67,1.3607,1.00073,0.00635,0.72432,0.55088,0.60907,0.25379,1.94675,1.59877,0.00859,0.0008912,0.0008912,0.0008912
58,3267.26,1.35625,0.97165,0.00617,0.70175,0.53663,0.61295,0.25852,1.95917,1.59403,0.00867,0.0008714,0.0008714,0.0008714
59,3323.67,1.33307,0.99099,0.00614,0.7793,0.50526,0.61703,0.25412,1.96281,1.60933,0.00855,0.0008516,0.0008516,0.0008516
60,3380.27,1.3352,0.96581,0.00612,0.77321,0.52637,0.63006,0.27561,1.98308,1.51701,0.00864,0.0008318,0.0008318,0.0008318
61,3437.18,1.33069,0.97545,0.00612,0.69755,0.53333,0.61824,0.25945,1.94269,1.57076,0.00861,0.000812,0.000812,0.000812
62,3493.97,1.30948,0.96175,0.00598,0.67792,0.52632,0.61511,0.2577,1.90374,1.67958,0.00835,0.0007922,0.0007922,0.0007922
63,3550.59,1.32515,0.95569,0.00608,0.72608,0.5193,0.62198,0.26214,1.94895,1.53938,0.0087,0.0007724,0.0007724,0.0007724
64,3607.15,1.30353,0.94645,0.00597,0.70065,0.54202,0.62465,0.26375,1.96893,1.64232,0.0087,0.0007526,0.0007526,0.0007526
65,3663.91,1.30637,0.93719,0.00578,0.71142,0.5193,0.59388,0.25138,1.93897,1.73573,0.0085,0.0007328,0.0007328,0.0007328
66,3720.41,1.27872,0.9377,0.00572,0.74611,0.57193,0.62246,0.26257,1.89269,1.69397,0.00816,0.000713,0.000713,0.000713
67,3777.22,1.27827,0.95262,0.00591,0.67364,0.51228,0.59135,0.26091,1.95334,1.70779,0.00858,0.0006932,0.0006932,0.0006932
68,3833.9,1.27191,0.93752,0.00564,0.72572,0.52281,0.61561,0.27587,1.88555,1.63761,0.008,0.0006734,0.0006734,0.0006734
69,3890.63,1.26378,0.93234,0.0057,0.69782,0.52632,0.59014,0.24676,1.96004,1.73467,0.00864,0.0006536,0.0006536,0.0006536
70,3947.35,1.28021,0.91052,0.00565,0.72856,0.50175,0.59218,0.25848,1.95876,1.75687,0.00834,0.0006338,0.0006338,0.0006338
