ros_time,elapsed_s,truth_stamp,odom_stamp,sync_dt_s,truth_x_m,truth_y_m,truth_yaw_deg,truth_speed_mps,lio_raw_x_m,lio_raw_y_m,lio_raw_yaw_deg,lio_base_x_m,lio_base_y_m,lio_aligned_x_m,lio_aligned_y_m,lio_aligned_yaw_deg,lio_speed_mps,error_x_m,error_y_m,position_error_m,along_track_error_m,cross_track_error_m,yaw_error_deg,speed_error_mps,truth_distance_m,lio_distance_m,position_rmse_m,cross_track_rmse_m,yaw_rmse_deg,position_max_m,lio_degenerate,gps_status,gps_age_s,gps_shadow,status
1785249144.698787928,42.073,1785249144.453000069,1785249144.438794136,0.014206,13.757650,-148.951187,72.388611,0.000322,19.137138,-13.524374,61.065573,17.530895,-16.429952,13.813993,-148.970404,72.768951,0.000000,0.056343,-0.019217,0.059530,-0.001269,-0.059516,0.380340,-0.000322,0.000000,0.000000,0.059530,0.059516,0.380340,0.059530,1,0,0.028651,0,LIO_DEGENERATE
1785249144.939165592,42.314,1785249144.701999903,1785249144.683639050,0.018361,-14.200064,-224.219986,62.688065,0.000779,19.137842,-13.525051,60.159131,17.485834,-16.404855,13.764779,-148.954969,71.862509,0.000000,27.964842,75.265017,80.292310,79.705837,9.686829,9.174445,-0.000779,80.293374,0.051578,56.775253,6.849752,6.492884,80.292310,1,0,0.076993,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249145.201672554,42.576,1785249144.943000078,1785249144.924584627,0.018415,-14.197741,-224.221603,62.692017,0.017279,19.184340,-13.548241,62.853778,17.669547,-16.502526,13.964484,-149.013345,74.557156,0.000000,28.162225,75.208258,80.308113,79.746626,9.479908,11.865139,-0.017279,80.296204,0.259641,65.564858,7.825319,8.662113,80.308113,1,0,0.124745,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249145.464204073,42.839,1785249145.200999975,1785249145.183151960,0.017848,-14.197289,-224.221100,62.687820,0.006398,19.175621,-13.544316,62.810310,17.658587,-16.497452,13.952723,-149.010599,74.513688,0.000000,28.150013,75.210501,80.305931,79.742321,9.497628,11.825868,-0.006398,80.296880,0.271718,69.543681,8.275140,9.551803,80.308113,1,0,0.013022,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249145.658356190,43.033,1785249145.437000036,1785249145.447710991,0.010711,-14.197365,-224.220001,62.687408,0.004244,19.182213,-13.547235,62.982438,17.674058,-16.504914,13.969386,-149.014768,74.685816,0.000000,28.166751,75.205233,80.306867,79.745252,9.480912,11.998408,-0.004244,80.297982,0.288894,71.825465,8.529941,10.088702,80.308113,1,0,0.001146,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249145.893249750,43.268,1785249145.641999960,1785249145.647210836,0.005211,-14.196771,-224.219208,62.686569,0.005651,19.181889,-13.547220,63.250687,17.687597,-16.511928,13.984067,-149.018890,74.954065,0.000000,28.180837,75.200318,80.307206,79.747209,9.467308,12.267496,-0.005651,80.298973,0.304142,73.307269,8.693191,10.483328,80.308113,1,0,0.029962,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249146.135111094,43.509,1785249145.872999907,1785249145.881039619,0.008040,-14.196049,-224.217972,62.685440,0.006691,19.182135,-13.547272,63.028890,17.676378,-16.506173,13.971913,-149.015530,74.732268,0.000000,28.167962,75.202441,80.304678,79.743002,9.481294,12.046828,-0.006691,80.300404,0.316752,74.347232,8.810094,10.720655,80.308113,1,0,0.080908,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249146.403965235,43.778,1785249146.108000040,1785249146.118502378,0.010502,-14.195271,-224.216415,62.684418,0.008056,8.775864,20.949768,60.591298,7.145624,18.057586,-3.351002,-117.306434,72.294676,0.000000,10.844269,106.909982,107.458561,99.965053,39.424999,9.610258,-0.008056,80.302144,36.449150,79.246386,16.192803,10.588225,107.458561,1,0,0.146743,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249146.603490353,43.978,1785249146.338000059,1785249146.351556301,0.013556,-14.194324,-224.214630,62.683456,0.009318,8.776047,20.949829,60.702678,7.151432,18.054483,-3.344685,-117.308294,72.406056,0.000000,10.849639,106.906336,107.455477,99.963617,39.420232,9.722599,-0.009318,80.304165,36.455735,82.856367,20.142850,10.495571,107.458561,1,0,0.150783,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785249146.871419430,44.246,1785249146.578000069,1785249146.586897850,0.008898,-14.193162,-224.212479,62.682404,0.010661,8.776954,20.950806,61.848456,7.210560,18.023552,-3.280512,-117.326588,73.551834,0.000000,10.912650,106.885891,107.441517,99.973644,39.356703,10.869430,-0.010661,80.306610,36.522465,85.633099,22.804736,10.533554,107.458561,1,0,0.050901,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
