ros_time,elapsed_s,truth_stamp,odom_stamp,sync_dt_s,truth_x_m,truth_y_m,truth_yaw_deg,truth_speed_mps,lio_raw_x_m,lio_raw_y_m,lio_raw_yaw_deg,lio_base_x_m,lio_base_y_m,lio_aligned_x_m,lio_aligned_y_m,lio_aligned_yaw_deg,lio_speed_mps,error_x_m,error_y_m,position_error_m,along_track_error_m,cross_track_error_m,yaw_error_deg,speed_error_mps,truth_distance_m,lio_distance_m,position_rmse_m,cross_track_rmse_m,yaw_rmse_deg,position_max_m,lio_degenerate,gps_status,gps_age_s,gps_shadow,status
1785251041.467604876,4.740,1785251041.174999952,1785251041.184821606,0.009822,-13.722859,-223.351151,62.599976,0.092452,0.276737,41.494415,-1.348983,-3.042343,41.572575,-13.722110,-223.351536,62.642547,0.000000,0.000749,-0.000386,0.000843,0.000003,-0.000843,0.042572,-0.092452,0.000000,0.000000,0.000843,0.000843,0.042572,0.000843,1,0,0.169921,0,LIO_DEGENERATE
1785251041.708603621,4.981,1785251041.467999935,1785251041.457569599,0.010430,-13.722859,-223.351151,62.599976,0.092452,0.277291,41.499020,-1.566289,-3.041468,41.589767,-13.737178,-223.343212,62.425242,0.000000,-0.014318,0.007939,0.016372,0.000459,0.016365,-0.174734,-0.092452,0.000000,0.017214,0.011592,0.011587,0.127170,0.016372,1,0,0.198714,0,LIO_DEGENERATE
1785251041.880508423,5.152,1785251041.657000065,1785251041.674469233,0.017469,-13.713472,-223.334381,62.594788,0.092373,0.277190,41.498379,-1.043718,-3.042259,41.558854,-13.709742,-223.357478,62.947812,0.000000,0.003731,-0.023097,0.023396,-0.018788,-0.013943,0.353024,-0.092373,0.019218,0.048138,0.016494,0.012422,0.228743,0.023396,1,0,0.162681,0,LIO_DEGENERATE
1785251042.097983837,5.370,1785251041.862999916,1785251041.869933128,0.006933,-13.704308,-223.317688,62.593750,0.092337,0.276870,41.495132,-1.538705,-3.041933,41.584282,-13.732452,-223.346034,62.452825,0.000000,-0.028144,-0.028346,0.039945,-0.038119,0.011938,-0.140925,-0.092337,0.038261,0.073568,0.024555,0.012303,0.210256,0.039945,1,0,0.002793,0,LIO_DEGENERATE
1785251042.338948250,5.611,1785251042.085000038,1785251042.088904381,0.003904,-13.694508,-223.299667,62.591721,0.092296,0.276814,41.494957,-1.387761,-3.042213,41.575363,-13.724559,-223.350197,62.603769,0.000000,-0.030051,-0.050529,0.058790,-0.058691,0.003418,0.012049,-0.092296,0.058774,0.082491,0.034258,0.011110,0.188136,0.058790,1,0,0.025413,0,LIO_DEGENERATE
1785251042.579433203,5.851,1785251042.322000027,1785251042.329008579,0.007009,-13.655785,-223.228561,62.682983,0.733701,0.287382,41.566315,-1.307361,-3.031754,41.642063,-13.779918,-223.311549,62.684169,0.000000,-0.124133,-0.082987,0.149318,-0.130699,0.072206,0.001186,-0.733701,0.139741,0.150007,0.068513,0.031174,0.171744,0.149318,1,0,0.077959,0,LIO_DEGENERATE
1785251042.800516129,6.072,1785251042.559000015,1785251042.564574242,0.005574,-13.488341,-222.914795,63.669449,1.992796,0.287323,41.565662,-1.171242,-3.031983,41.633525,-13.772345,-223.315499,62.820288,0.000000,-0.284004,-0.400704,0.491144,-0.485101,0.076807,-0.849161,-1.992796,0.495390,0.158548,0.196173,0.040936,0.358180,0.491144,1,0,0.079325,0,LIO_DEGENERATE
1785251043.001870155,6.274,1785251042.760999918,1785251042.768642187,0.007642,-13.248613,-222.436371,64.867981,3.032626,0.287236,41.563572,-5.081246,-3.019716,41.857619,-13.968365,-223.206208,58.910284,0.000000,-0.719752,-0.769838,1.053894,-1.002641,0.324660,-5.957697,-3.032626,1.030516,0.382977,0.415343,0.121003,2.132844,1.053894,1,0,0.110725,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785251043.243891001,6.516,1785251042.961999893,1785251042.971811771,0.009812,-12.923718,-221.772308,65.110474,4.051601,0.287252,41.563778,-4.966432,-3.020283,41.851197,-13.962843,-223.209534,59.025099,0.000000,-1.039124,-1.437225,1.773526,-1.741074,0.337727,-6.085375,-4.051601,1.769796,0.389423,0.709105,0.160275,2.856260,1.773526,1,0,0.134473,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
1785251043.431877136,6.704,1785251043.213999987,1785251043.228967190,0.014967,-12.386616,-220.688080,65.490326,5.280846,0.287286,41.564373,-4.811892,-3.021012,41.842870,-13.955679,-223.213840,59.179638,0.000000,-1.569063,-2.525761,2.973453,-2.949088,0.379873,-6.310688,-5.280846,2.979767,0.397782,1.156153,0.193777,3.365245,2.973453,1,0,0.139436,0,LIO_DEGENERATE|POSITION_DRIFT|YAW_DRIFT
